Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_12853,3.00E-55,Q8VD04,early endosome,GRIP1-associated protein 1 (GRASP-1) (HCMV-interacting protein),Mus musculus (Mouse)
Pgenerosa-v1_contig_12858,2.00E-23,Q9R0W9,acetylcholine-activated cation-selective channel activity; acetylcholine-gated channel complex; cell junction; membrane depolarization; postsynaptic membrane; regulation of dopamine secretion,Neuronal acetylcholine receptor subunit alpha-6,Mus musculus (Mouse)
Pgenerosa-v1_contig_1286,2.00E-167,P40925,L-malate dehydrogenase activity; NAD binding; NADH metabolic process; cellular carbohydrate metabolic process; centrosome; cytosol; diiodophenylpyruvate reductase activity; gluconeogenesis; malate metabolic process; malic enzyme activity; mitochondrion; oxaloacetate metabolic process; small molecule metabolic process; tricarboxylic acid cycle,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase) (Diiodophenylpyruvate reductase) (EC 1.1.1.96)",Homo sapiens (Human)
Pgenerosa-v1_contig_12860,8.00E-91,Q39565,ATP binding; ATP catabolic process; ATPase activity; cell projection organization; cilium; cytoplasm; dynein complex; microtubule; microtubule motor activity; microtubule-based movement,"Dynein beta chain, flagellar outer arm",Chlamydomonas reinhardtii (Chlamydomonas smithii)
Pgenerosa-v1_contig_12861,1.00E-08,Q5VT06,centrosome; cytoplasm; nucleus; spindle,Centrosome-associated protein 350 (Cep350) (Centrosome-associated protein of 350 kDa),Homo sapiens (Human)
Pgenerosa-v1_contig_12862,2.00E-40,Q8N4B1,"Golgi apparatus; clathrin-coated vesicle; early endosome; endosome organization; phospholipid binding; receptor recycling; recycling endosome; retrograde transport, endosome to Golgi; trans-Golgi network",Sesquipedalian-1 (Ses1) (27 kDa inositol polyphosphate phosphatase-interacting protein A) (IPIP27A),Homo sapiens (Human)
Pgenerosa-v1_contig_12866,1.00E-50,P16621,R7 cell development; axon; axon extension; axon target recognition; cell adhesion; embryonic development via the syncytial blastoderm; focal adhesion; heparin binding; integral to membrane; microtubule associated complex; motor neuron axon guidance; oogenesis; photoreceptor cell morphogenesis; plasma membrane; regulation of axon extension involved in axon guidance; regulation of cell shape; retinal ganglion cell axon guidance; synaptic growth at neuromuscular junction; transmembrane receptor protein tyrosine phosphatase activity,Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_12872,9.00E-28,O43301,ATP binding,Heat shock 70 kDa protein 12A,Homo sapiens (Human)
Pgenerosa-v1_contig_12882,4.00E-75,O14735,CDP-diacylglycerol metabolic process; CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity; Golgi membrane; alcohol binding; carbohydrate binding; diacylglycerol binding; endoplasmic reticulum membrane; integral to membrane; manganese ion binding; phosphatidylinositol biosynthetic process; plasma membrane; small molecule metabolic process,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase),Homo sapiens (Human)
Pgenerosa-v1_contig_12888,3.00E-18,Q8BUG5,calcium ion binding,Calcyphosin-2 (Calcyphosine-2),Mus musculus (Mouse)
Pgenerosa-v1_contig_12891,8.00E-55,Q9D799,methionyl-tRNA formyltransferase activity; mitochondrion; translational initiation,"Methionyl-tRNA formyltransferase, mitochondrial (MtFMT) (EC 2.1.2.9)",Mus musculus (Mouse)
Pgenerosa-v1_contig_12892,4.00E-16,P61268,integral to membrane; intracellular protein transport; neurotransmitter transport; vesicle-mediated transport,Syntaxin-1B (Syntaxin-1B2),Ovis aries (Sheep)
Pgenerosa-v1_contig_12894,2.00E-30,Q8CBX9,cytoplasm; nucleus,Basic immunoglobulin-like variable motif-containing protein,Mus musculus (Mouse)
Pgenerosa-v1_contig_12896,2.00E-18,D4A1F2,"FAD binding; actin binding; actin filament depolymerization; cytoplasm; cytoskeleton; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen; sulfur oxidation; zinc ion binding",Protein-methionine sulfoxide oxidase MICAL2 (EC 1.14.13.-) (Molecule interacting with CasL protein 2) (MICAL-2),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_12902,8.00E-69,Q60HG0,Golgi membrane; cis-Golgi network; integral to membrane; transferase activity,Fukutin (EC 2.-.-.-),Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Pgenerosa-v1_contig_12904,6.00E-25,Q8BUZ3,DNA binding; nucleus,Tigger transposable element-derived protein 4,Mus musculus (Mouse)
Pgenerosa-v1_contig_12905,2.00E-32,A1L0Y2,centriole,Neuralized-like protein 4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Pgenerosa-v1_contig_12906,1.00E-16,O95816,protein folding,BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2),Homo sapiens (Human)
Pgenerosa-v1_contig_12907,1.00E-43,Q3B8H3,integral to mitochondrial inner membrane; mitochondrion organization,"Transmembrane protein 11-B, mitochondrial",Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_12908,0,P55096,"ATP binding; ATPase activity, coupled to transmembrane movement of substances; fatty acid beta-oxidation; integral to membrane; mitochondrial inner membrane; peroxisomal matrix; peroxisomal membrane; peroxisome organization; very long-chain fatty acid catabolic process",ATP-binding cassette sub-family D member 3 (68 kDa peroxisomal membrane protein) (PMP68) (70 kDa peroxisomal membrane protein) (PMP70),Mus musculus (Mouse)
Pgenerosa-v1_contig_12910,6.00E-75,Q07889,DNA binding; Fc-epsilon receptor signaling pathway; Ras protein signal transduction; Rho GTPase activator activity; Rho guanyl-nucleotide exchange factor activity; apoptotic signaling pathway; axon guidance; cytosol; epidermal growth factor receptor signaling pathway; fibroblast growth factor receptor signaling pathway; innate immune response; insulin receptor signaling pathway; leukocyte migration; neurotrophin TRK receptor signaling pathway; phospholipid binding; plasma membrane; platelet activation; positive regulation of apoptotic process,Son of sevenless homolog 1 (SOS-1),Homo sapiens (Human)
Pgenerosa-v1_contig_12911,1.00E-20,Q9Y5H1,calcium ion binding; homophilic cell adhesion; integral to membrane; plasma membrane,Protocadherin gamma-A2 (PCDH-gamma-A2),Homo sapiens (Human)
Pgenerosa-v1_contig_12912,2.00E-36,Q27312,NAD+ nucleosidase activity; cytoplasmic membrane-bounded vesicle; single fertilization,ADP-ribosyl cyclase (ADRC) (EC 3.2.2.5) (NAD glycohydrolase) (NAD(+) nucleosidase) (NADase),Aplysia kurodai (Kuroda's sea hare)
Pgenerosa-v1_contig_12913,5.00E-144,P51612,"XPC complex; cytoplasm; damaged DNA binding; intra-S DNA damage checkpoint; nucleotide-excision repair; nucleotide-excision repair, DNA damage recognition; response to UV-B; single-stranded DNA binding",DNA repair protein complementing XP-C cells homolog (Xeroderma pigmentosum group C-complementing protein homolog) (p125),Mus musculus (Mouse)
Pgenerosa-v1_contig_12915,9.00E-87,Q17MI0,RNA polymerase II transcription cofactor activity; mediator complex,Mediator of RNA polymerase II transcription subunit 7 (Mediator complex subunit 7),Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
Pgenerosa-v1_contig_12920,3.00E-14,A2AAE1,adipose tissue development; fat cell differentiation; integral to membrane; lipid metabolic process; lipid storage; nucleus; nucleus localization; regulation of cell growth; spermatogenesis,Uncharacterized protein KIAA1109 (Fragile site-associated protein homolog),Mus musculus (Mouse)
Pgenerosa-v1_contig_12921,3.00E-24,Q5RCM7,cell redox homeostasis; integral to membrane,DnaJ homolog subfamily C member 16,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_12924,7.00E-28,Q1LVN8,,Selenoprotein O (SelO),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_12925,0,Q9UJS0,ATP biosynthetic process; L-aspartate transmembrane transporter activity; L-glutamate transmembrane transporter activity; calcium ion binding; gluconeogenesis; integral to plasma membrane; malate-aspartate shuttle; mitochondrial inner membrane; response to calcium ion,Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13),Homo sapiens (Human)
Pgenerosa-v1_contig_12927,4.00E-65,Q12802,Rho guanyl-nucleotide exchange factor activity; apoptotic signaling pathway; cAMP-dependent protein kinase activity; cytosol; membrane; metal ion binding; neurotrophin TRK receptor signaling pathway; nucleus; phospholipid binding; positive regulation of apoptotic process; regulation of Rho protein signal transduction; regulation of glucocorticoid mediated signaling pathway; regulation of small GTPase mediated signal transduction; signal transducer activity; small GTPase mediated signal transduction,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47),Homo sapiens (Human)
Pgenerosa-v1_contig_1293,3.00E-124,Q0II68,aminocarboxymuconate-semialdehyde decarboxylase activity; cytosol; metal ion binding; quinolinate metabolic process,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase),Bos taurus (Bovine)
Pgenerosa-v1_contig_12931,7.00E-164,Q6GR10,cell cycle; cell division; cytoplasm; cytoskeleton; erythrocyte maturation; nuclear matrix; plasma membrane,Macrophage erythroblast attacher,Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_12936,8.00E-66,F1QH17,"FAD binding; actin binding; actin filament depolymerization; cytoplasm; cytoskeleton; exocytosis; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen; zinc ion binding",Protein-methionine sulfoxide oxidase mical3a (EC 1.14.13.-) (Molecule interacting with CasL protein 3A) (MICAL-3A),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_12938,1.00E-39,P31751,ATP binding; activation of Ral GTPase activity; apoptotic process; carbohydrate transport; cell cortex; cytosol; fat cell differentiation; glucose metabolic process; glycogen biosynthetic process; insulin receptor signaling pathway; intracellular protein transmembrane transport; lamellipodium; mammary gland epithelial cell differentiation; negative regulation of plasma membrane long-chain fatty acid transport; nucleus; peripheral nervous system myelin maintenance; phospholipid binding; positive regulation of cell motility; positive regulation of fatty acid beta-oxidation; positive regulation of glucose import; positive regulation of glucose import in response to insulin stimulus; positive regulation of glycogen biosynthetic process; positive regulation of protein phosphorylation; positive regulation of protein targeting to membrane; positive regulation of vesicle fusion; protein localization to plasma membrane; protein serine/threonine kinase activity; regulation of JNK cascade; regulation of cell cycle arrest; regulation of cell migration; regulation of translation; ruffle membrane,RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),Homo sapiens (Human)
Pgenerosa-v1_contig_12945,7.00E-41,Q8IVV2,calcium channel activity; detection of mechanical stimulus; membrane; sensory perception of sound; stereocilium,Lipoxygenase homology domain-containing protein 1,Homo sapiens (Human)
Pgenerosa-v1_contig_12952,3.00E-71,P58797,RNA binding; cytoplasm; mRNA export from nucleus; nucleotide binding; nucleus,Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP),Coturnix coturnix japonica (Japanese quail) (Coturnix japonica)
Pgenerosa-v1_contig_12955,5.00E-14,Q5DTJ9,I band; Z disc; microtubule cytoskeleton; nucleus; sarcomere organization,Myopalladin,Mus musculus (Mouse)
Pgenerosa-v1_contig_12959,3.00E-174,Q01780,"3'-5' exonuclease activity; CUT catabolic process; RNA binding; cytoplasm; dosage compensation by inactivation of X chromosome; exoribonuclease activity; exosome (RNase complex); histone mRNA catabolic process; maturation of 5.8S rRNA; nuclear exosome (RNase complex); nuclear polyadenylation-dependent rRNA catabolic process; nuclear retention of unspliced pre-mRNA at the site of transcription; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; nucleolus; nucleotide binding; transcriptionally active chromatin",Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2),Homo sapiens (Human)
Pgenerosa-v1_contig_12961,2.00E-37,Q6AX60,BBSome; cilium membrane; cytoplasm; microtubule organizing center,Protein PTHB1 (Bardet-Biedl syndrome 9 protein homolog) (Parathyroid hormone-responsive B1 gene protein homolog),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_12963,3.00E-67,Q8CI66,integral to membrane; sterol binding,Stomatin-like protein 1 (SLP-1),Mus musculus (Mouse)
Pgenerosa-v1_contig_12967,2.00E-09,,,,
Pgenerosa-v1_contig_12968,3.00E-164,P07850,electron carrier activity; heme binding; mitochondrial intermembrane space; molybdenum ion binding; molybdopterin cofactor binding; sulfite oxidase activity; sulfur compound metabolic process,Sulfite oxidase (EC 1.8.3.1),Gallus gallus (Chicken)
Pgenerosa-v1_contig_12977,3.00E-52,A0JP70,,WD repeat-containing protein 90,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Pgenerosa-v1_contig_12978,0,Q5ZKI4,,Coiled-coil domain-containing protein 93,Gallus gallus (Chicken)
Pgenerosa-v1_contig_12979,2.00E-154,Q86TI0,Rab GTPase activator activity; cytosol; nucleus; positive regulation of Rab GTPase activity; regulation of protein localization,TBC1 domain family member 1,Homo sapiens (Human)
Pgenerosa-v1_contig_12980,7.00E-34,P28166,RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity; RNA polymerase II regulatory region sequence-specific DNA binding; antimicrobial humoral response; garland nephrocyte differentiation; gonad development; heart development; hemocyte development; lymph gland development; mesoderm development; metal ion binding; motor neuron axon guidance; negative regulation of transcription from RNA polymerase II promoter; nucleus; pole cell migration; somatic stem cell division,Zinc finger protein 1 (Zinc finger homeodomain protein 1),Drosophila melanogaster (Fruit fly)
